"baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
0.49,1,0,0.5,"caller",0.266703660509682,0.222496117228348,0.0436092389767561
0.49,1,0,0.5,"silent",0.112549656655534,0.051614963081048,0.0101165327638854
0.53,0.01,0,0.5,"baffler",0.081969696969697,0.0304057792778302,0.00595953273845473
0.53,0.01,0,0.5,"caller",0.0288604181406175,0.0234423196431768,0.00459469465006264
0.53,0.01,0,0.5,"silent",0.00253954802259887,0.00607585066458375,0.00119086673025841
0.53,0.05,0,0.5,"baffler",0.191515151515152,0.111922490362563,0.0219368081110623
0.53,0.05,0,0.5,"caller",0.0622042101161729,0.0526855653519804,0.0103263708089882
0.53,0.05,0,0.5,"silent",0.00744924516069279,0.0136898719064104,0.00268321489365644
0.53,0.1,0,0.5,"baffler",0.251969696969697,0.169024354066446,0.0331287733970235
0.53,0.1,0,0.5,"caller",0.0892109877264757,0.0756879817618398,0.0148348444253206
0.53,0.1,0,0.5,"silent",0.0125169491525424,0.0156897002081383,0.00307518124079511
0.53,0.25,0,0.5,"baffler",0.357727272727273,0.275957345642201,0.0540876397458714
0.53,0.25,0,0.5,"caller",0.128675430906313,0.107793453037311,0.021127516795313
0.53,0.25,0,0.5,"silent",0.0299075161260446,0.0249648743650148,0.0048931153755429
0.53,0.5,0,0.5,"baffler",0.454015151515152,0.37584756413051,0.07366612256958
0.53,0.5,0,0.5,"caller",0.182004675628288,0.150287320198167,0.0294563147588408
0.53,0.5,0,0.5,"silent",0.0559209039548023,0.0416880479876155,0.00817085740557265
0.53,0.75,0,0.5,"baffler",0.53030303030303,0.432301884079381,0.0847311692795587
0.53,0.75,0,0.5,"caller",0.217375803623612,0.196860543044994,0.0385846664368189
0.53,0.75,0,0.5,"silent",0.0906129943502824,0.0459426301633321,0.00900475551201309
0.53,1,0,0.5,"baffler",0.584848484848485,0.478819503940176,0.0938486227722746
0.53,1,0,0.5,"caller",0.264660247931342,0.203609563479026,0.0399074744418891
0.53,1,0,0.5,"silent",0.117337454848569,0.0608221271675039,0.0119211369248308
0.57,0.01,0,0.5,"baffler",0.0730769230769231,0.0311530099610411,0.00610598995236406
0.57,0.01,0,0.5,"caller",0.0250104821802935,0.0224069486059999,0.00439176192677598
0.57,0.01,0,0.5,"silent",0.00264150943396227,0.00710542544672658,0.00139266338755841
0.57,0.05,0,0.5,"baffler",0.181118881118881,0.10701168015938,0.0209742893112384
0.57,0.05,0,0.5,"caller",0.0638050314465409,0.0556227811437127,0.0109020651041677
0.57,0.05,0,0.5,"silent",0.00696715583508037,0.0133035774234038,0.00260750117498715
0.57,0.1,0,0.5,"baffler",0.244335664335664,0.171678454750982,0.0336489771311925
0.57,0.1,0,0.5,"caller",0.0902388292843343,0.0714665139470777,0.0140074367336272
0.57,0.1,0,0.5,"silent",0.0143046820405311,0.017961240358764,0.00352040311031775
0.57,0.25,0,0.5,"baffler",0.332097902097902,0.2599582972212,0.0509518262553552
0.57,0.25,0,0.5,"caller",0.124080524646562,0.122608252026331,0.0240312173971609
0.57,0.25,0,0.5,"silent",0.0307270186138111,0.0246617731714086,0.00483370754159608
0.57,0.5,0,0.5,"baffler",0.428811188811189,0.364634607677409,0.0714683831047722
0.57,0.5,0,0.5,"caller",0.168482099661345,0.163391165876346,0.0320246685117639
0.57,0.5,0,0.5,"silent",0.0530057810812528,0.0373829687607557,0.00732706187710811
0.57,0.75,0,0.5,"baffler",0.496923076923077,0.423532539608333,0.0830123777632333
0.57,0.75,0,0.5,"caller",0.23292184056335,0.194935300853707,0.0382073189673266
0.57,0.75,0,0.5,"silent",0.0876205450733752,0.0520708356819653,0.0102058837936652
0.57,1,0,0.5,"baffler",0.556573426573427,0.466975510661475,0.0915272000896491
0.57,1,0,0.5,"caller",0.266605655001881,0.190625890951974,0.037362674626587
0.57,1,0,0.5,"silent",0.115061686042818,0.0496474949168915,0.00973090900371073
0.61,0.01,0,0.5,"baffler",0.0731578947368421,0.0306344671629812,0.00600435556394432
